Tipo;Tamanho;Comando;Variavel;TT301;LD301;FY301;DT301
ENUMERATED;1;150;response_code;;;;
BIT_ENUMERATED;1;151;device_status;;;;
BIT_ENUMERATED;1;152;comm_status;;;;
ENUMERATED;1;153;manufacturer_id;;;;
ENUMERATED;1;154;device_type;;;;
UNSIGNED;1;155;request_preambles;;;;
UNSIGNED;1;156;universal_revision;;;;
UNSIGNED;1;157;transmitter_revision;;;;
UNSIGNED;1;158;software_revision;;;;
UNSIGNED;1;159;hardware_revision;;;;
BIT_ENUMERATED;1;160;device_flags;;;;
UNSIGNED;3;161;device_id;;;;
UNSIGNED;1;162;polling_address;;;;
PACKED_ASCII;8;163;tag;TT301;LD301;FY301;DT301
PACKED_ASCII;32;164;message;MEDIDOR DE TEMPERATURA;MEDIDOR DE PRESSAO;POSICIONADOR DE VALVULA;MEDIDOR DE DENSIDADE
PACKED_ASCII;16;165;descriptor;TEMPERATURA;PRESSAO;POSICIONADOR;DENSIDADE
DATE;3;166;date;26/11/2020;26/11/2020;26/11/2020;26/11/2020
ENUMERATED;1;167;write_protect;;;;
ENUMERATED;1;168;private_label_distributor;;;;
UNSIGNED;3;169;final_assembly_number;;;;
ENUMERATED;1;171;physical_signaling_code;;;;
ENUMERATED;1;2025;units_code;;;;
ENUMERATED;1;2026;transfer_function_code;;;;
ENUMERATED;1;2027;alarm_selection_code;;;;
ENUMERATED;1;2028;material_code;;;;
ENUMERATED;1;2029;unique_device_type_code;;;;
ENUMERATED;1;2030;write_protect_code;;;;
ENUMERATED;1;2031;company_identification_code;;;;
ENUMERATED;1;2032;burst_mode_control_code;;;;
ENUMERATED;1;2033;physical_signaling_codes;;;;
ENUMERATED;1;2034;flag_assignment;;;;
ENUMERATED;1;2035;operating_mode_code;;;;
ENUMERATED;1;2036;analog_output_numbers_code;;;;
ENUMERATED;1;2037;rosemount_model_code;;;;
ENUMERATED;1;2038;rosemount_analytical_model_code;;;;
ENUMERATED;1;2039;kayray_model_code;;;;
ENUMERATED;1;2040;micro_motion_model_code;;;;
BIT_ENUMERATED;1;4021;xmtr_specific_status_0;;;;
BIT_ENUMERATED;1;4022;xmtr_specific_status_1;;;;
BIT_ENUMERATED;1;4023;xmtr_specific_status_2;;;;
BIT_ENUMERATED;1;4024;xmtr_specific_status_3;;;;
ENUMERATED;1;4093;burst_command_number;;;;
ENUMERATED;1;4095;burst_mode_select;;;;
ENUMERATED;1;5020;meter_installation;;;;
ENUMERATED;1;16384;digital_units;;;;
ENUMERATED;1;16385;sensor_type;;;;
ENUMERATED;1;16391;analog_output_transfer_function;;;;
FLOAT;4;16392;ma_analog_output_1_value;;;;
ENUMERATED;1;16393;ma_analog_output_1_alarm_select;;;;
FLOAT;4;16394;differential_measurement_digital_value;;;;
FLOAT;4;16395;differential_measurement_percent_range;;;;
FLOAT;4;16396;differential_measurement_upper_range_value;;;;
FLOAT;4;16397;differential_measurement_lower_range_value;;;;
FLOAT;4;16398;differential_measurement_damping_value;;;;
UNSIGNED;3;16399;sensor1_serial_number;;;;
FLOAT;4;16400;differential_measurement_upper_sensor_limit;;;;
FLOAT;4;16401;differential_measurement_lower_sensor_limit;;;;
FLOAT;4;16402;differential_measurement_minimum_span;;;;
ENUMERATED;1;16403;DEVICE_MODE;;;;
ENUMERATED;1;16404;number_wires;;;;
ENUMERATED;1;16405;electronics_temperature_digital_units;;;;
FLOAT;4;16406;electronics_temperature_digital_value;;;;
UNSIGNED;3;16407;electronics_temperature_serial_number;;;;
FLOAT;4;16408;electronics_temperature_upper_sensor_limit;;;;
FLOAT;4;16409;electronics_temperature_lower_sensor_limit;;;;
FLOAT;4;16410;electronics_temperature_damping_value;;;;
ENUMERATED;1;16411;sensor1_digital_units;;;;
FLOAT;4;16412;sensor1_measurement_digital_value;;;;
FLOAT;4;16413;sensor1_damping_value;;;;
FLOAT;4;16414;sensor1_upper_sensor_limit;;;;
FLOAT;4;16415;sensor1_lower_sensor_limit;;;;
ENUMERATED;1;16416;sensor2_digital_units;;;;
FLOAT;4;16417;sensor2_measurement_digital_value;;;;
UNSIGNED;3;16418;sensor2_serial_number;;;;
FLOAT;4;16419;sensor2_upper_sensor_limit;;;;
FLOAT;4;16420;sensor2_lower_sensor_limit;;;;
FLOAT;4;16421;sensor2_damping_value;;;;
UNSIGNED;1;16423;device_code;;;;
ENUMERATED;1;16424;lin_mode;;;;
ENUMERATED;1;16427;cal_locat;;;;
ENUMERATED;1;16428;cal_point_units;;;;
FLOAT;4;16429;upper_cal_point_limit;;;;
FLOAT;4;16430;lower_cal_point_limit;;;;
FLOAT;4;16432;cal_point;;;;
ENUMERATED;1;16436;CONTROLLER_TYPE;;;;
ENUMERATED;1;16437;POWER_UP_MODE;;;;
ENUMERATED;1;16438;CONTROLLER_ACTION;;;;
ENUMERATED;1;16443;unit_code;;;;
FLOAT;4;16444;PROCESS_VARIABLE;50;50;50;50
FLOAT;4;16445;SETPOINT;;;;
FLOAT;4;16446;MANIPULATED_VARIABLE;;;;
ENUMERATED;1;16447;SETPOINT_TRACKING_MODE;;;;
ENUMERATED;1;16448;pid_mode;;;;
FLOAT;4;16449;ERROR_PERCENT_RANGE;;;;
FLOAT;4;16452;PROPORTIONAL_GAIN;;;;
FLOAT;4;16453;INTEGRAL_TIME;;;;
FLOAT;4;16454;DERIVATIVE_TIME;;;;
FLOAT;4;16463;MV_HIGH_LIMIT;;;;
FLOAT;4;16464;MV_LOW_LIMIT;;;;
FLOAT;4;16465;MV_ROC_LIMIT;;;;
FLOAT;4;16468;POWER_UP_SETPOINT_PERCENT_RANGE;;;;
FLOAT;4;16469;POWER_UP_OUTPUT;;;;
FLOAT;4;16472;set_point_time;;;;
ENUMERATED;1;16473;set_point_generator_mode;;;;
ENUMERATED;1;16474;set_point_time_generator_mode;;;;
INDEX;1;16479;coordinate_index;;;;
INTEGER;1;16482;table_points;;;;
UNSIGNED;1;16485;range_units;;;;
FLOAT;4;16486;upper_range_value;100;100;100;100
FLOAT;4;16487;lower_range_value;0;0;0;0
ENUMERATED;1;16489;alarm_0_action;;;;
ENUMERATED;1;16490;alarm_1_action;;;;
ENUMERATED;1;16491;alarm_2_action;;;;
FLOAT;4;16492;alarm_1_value;;;;
FLOAT;4;16493;alarm_2_value;;;;
ENUMERATED;1;16494;alarm_0_status;;;;
ENUMERATED;1;16495;alarm_1_status;;;;
ENUMERATED;1;16496;alarm_2_status;;;;
ENUMERATED;1;16497;alarm_0_acknowledge;;;;
ENUMERATED;1;16498;alarm_1_acknowledge;;;;
ENUMERATED;1;16499;alarm_2_acknowledge;;;;
ENUMERATED;1;16505;pv_display_code;;;;
ENUMERATED;1;16506;sv_display_code;;;;
INTEGER;1;16509;chg_cnt_range;;;;
INTEGER;1;16510;chg_cnt_function;;;;
INTEGER;1;16511;chg_cnt_trim_4;;;;
INTEGER;1;16512;chg_cnt_trim_20;;;;
INTEGER;1;16513;chg_cnt_trim;;;;
INTEGER;1;16514;chg_cnt_burnout;;;;
INTEGER;1;16515;chg_cnt_sensor;;;;
INTEGER;1;16516;chg_cnt_op_mode;;;;
INTEGER;1;16517;chg_cnt_local_adjust;;;;
INTEGER;1;16518;chg_cnt_com;;;;
INTEGER;1;16519;chg_cnt_multidrop;;;;
INTEGER;1;16520;chg_cnt_password;;;;
ENUMERATED;1;16523;communication_write_protection_mode;;;;
ENUMERATED;1;16524;local_adjust_protection_mode;;;;
ENUMERATED;1;16527;local_adjust_mode;;;;
ASCII;6;16529;pswd1;;;;
ASCII;6;16530;pswd2;;;;
ASCII;6;16531;pswd3;;;;
ASCII;6;16532;pswd4;;;;
UNSIGNED;1;16534;level_password;;;;
ASCII;6;16535;pswd;;;;
ASCII;21;16537;smar_order_code;;;;
ASCII;1;16540;first_character;;;;
ASCII;1;16541;second_character;;;;
ASCII;1;16542;third_character;;;;
ASCII;1;16543;fourth_character;;;;
ASCII;1;16544;fifth_character;;;;
FLOAT;4;16547;special_sensor_upper_range_limit;;;;
FLOAT;4;16548;special_sensor_lower_range_limit;;;;
FLOAT;4;16549;special_sensor_minimum_span;;;;
FLOAT;4;16550;special_sensor_high_limit;;;;
FLOAT;4;16551;special_sensor_low_limit;;;;
ENUMERATED;1;16554;input_unit_code;;;;
FLOAT;4;16555;special_sensor_ohms_mv_upper_limit;;;;
FLOAT;4;16556;special_sensor_ohms_mv_lower_limit;;;;
ENUMERATED;1;16557;special_sensor_gain;;;;
ENUMERATED;1;16558;special_sensor_connection;;;;
UNSIGNED;1;16562;conf_level_menu_1;;;;
UNSIGNED;1;16563;conf_level_menu_2;;;;
UNSIGNED;1;16564;conf_level_menu_3;;;;
UNSIGNED;1;16565;conf_level_menu_4;;;;
UNSIGNED;1;16566;conf_level_menu_5;;;;
UNSIGNED;1;16567;conf_level_menu_6;;;;
UNSIGNED;1;16568;conf_level_menu_7;;;;
UNSIGNED;1;16569;conf_level_menu_8;;;;
FLOAT;4;16572;output_variable;;;;
ENUMERATED;1;16575;mv_special_cold_junction;;;;
FLOAT;4;16578;not_used_1;;;;
FLOAT;4;16579;not_used_2;;;;
FLOAT;4;16580;mv_ohms;;;;
INTEGER;1;16581;not_used_3;;;;
ENUMERATED;1;16582;cal_point_limits_unit;;;;
FLOAT;4;16583;upper_cal_point_value;;;;
FLOAT;4;16584;lower_cal_point_value;;;;
ENUMERATED;1;16585;CONTROLLER_MODE;;;;
ENUMERATED;1;16586;fail_safe_mode;;;;
ENUMERATED;1;16587;sensor_range;;;;
FLOAT;4;16588;table_coordinate_0;;;;
FLOAT;4;16589;table_coordinate_1;;;;
FLOAT;4;16590;table_coordinate_2;;;;
FLOAT;4;16591;table_coordinate_3;;;;
FLOAT;4;16592;table_coordinate_4;;;;
FLOAT;4;16593;table_coordinate_5;;;;
FLOAT;4;16594;table_coordinate_6;;;;
FLOAT;4;16595;table_coordinate_7;;;;
FLOAT;4;16596;table_coordinate_8;;;;
FLOAT;4;16597;table_coordinate_9;;;;
FLOAT;4;16598;table_coordinate_10;;;;
FLOAT;4;16599;table_coordinate_11;;;;
FLOAT;4;16600;table_coordinate_12;;;;
FLOAT;4;16601;table_coordinate_13;;;;
FLOAT;4;16602;table_coordinate_14;;;;
FLOAT;4;16603;table_coordinate_15;;;;
FLOAT;4;16604;table_coordinate_16;;;;
FLOAT;4;16605;table_coordinate_17;;;;
FLOAT;4;16606;table_coordinate_18;;;;
FLOAT;4;16607;table_coordinate_19;;;;
FLOAT;4;16608;table_coordinate_20;;;;
FLOAT;4;16609;table_coordinate_21;;;;
FLOAT;4;16610;table_coordinate_22;;;;
FLOAT;4;16611;table_coordinate_23;;;;
FLOAT;4;16612;table_coordinate_24;;;;
FLOAT;4;16613;table_coordinate_25;;;;
FLOAT;4;16614;table_coordinate_26;;;;
FLOAT;4;16615;table_coordinate_27;;;;
FLOAT;4;16616;table_coordinate_28;;;;
FLOAT;4;16617;table_coordinate_29;;;;
FLOAT;4;16618;table_coordinate_30;;;;
FLOAT;4;16619;table_coordinate_31;;;;
